grant_id,title,sponsor,entity_types,states,rural_only,required_flags,min_years,min_award,max_award,open_state,status_label,deadline,focus_areas,summary,eligibility_notes,readiness_items,source_url,last_verified
NSF-SEED,America's Seed Fund — NSF SBIR/STTR,National Science Foundation,Small business,ALL,false,,0,50000,2000000,open,Open pathway — begin with a Project Pitch,,Technology & innovation|Research & development|Economic development,"Non-dilutive seed funding for U.S. startups developing high-risk deep technology with commercial potential.","Confirm current Project Pitch and solicitation requirements; the company must meet SBIR/STTR ownership and U.S. small-business rules.",Entity registration|Technical innovation narrative|Commercialization case|Project budget,https://seedfund.nsf.gov/,2026-09-13
USDA-REAP,Rural Energy for America Program,USDA Rural Development,Small business,ALL,true,,0,1500,1000000,watch,Grant cycle watch — guaranteed loans currently open,,Sustainability & energy|Economic development|Food access & agriculture,"Supports renewable-energy systems and energy-efficiency improvements for agricultural producers and eligible rural small businesses.","Verify rural-area eligibility, current grant window, project technology, cost share, and federal standing before proceeding.",Rural eligibility check|Energy assessment|Vendor estimates|Matching funds,https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-efficiency-improvement-guaranteed-loans,2026-09-13
WOMENSNET-AMBER,Amber Grant,WomensNet,Small business|Nonprofit,ALL,false,Women-owned,0,10000,50000,open,Rolling monthly application,,Economic development|Community services|Technology & innovation|Arts & culture|Health & wellness,"Monthly and year-end grants for women-owned businesses across industries, including eligible nonprofit ventures.","Confirm current rules, fees, category calendar, judging terms, and whether the applying venture meets the program's women-owned definition.",Founder story|Use-of-funds plan|Business profile,https://ambergrantsforwomen.com/,2026-09-13
NASE-GROWTH,NASE Growth Grants,National Association for the Self-Employed,Small business,ALL,false,NASE member,0,4000,4000,open,Quarterly awards for eligible members,,Economic development|Technology & innovation|Workforce development,"Small growth grants for eligible NASE members to support defined business-development needs.","Verify membership duration, good standing, current quarterly deadline, and allowable use of funds.",Active membership|Use-of-funds plan|Business plan|Recent tax return or P&L|Business photo,https://www.nase.org/become-a-member/member-benefits/business-resources/growth-grants,2026-09-13
SBA-STEP,State Trade Expansion Program referral pathway,U.S. Small Business Administration,Small business,ALL,false,,1,,,referral,Apply through a participating state or territory,,Exporting|Economic development,"Export assistance delivered through state and territorial STEP awardees for eligible established small businesses.","This is not a direct SBA grant to the business. Contact the current state or territory awardee and verify local eligibility and covered export activities.",Export plan|State eligibility|International market goal,https://www.sba.gov/loans/additional-funding-opportunities/grants/,2026-09-13
USDA-CFP-2026,Community Food Projects Competitive Grants Program,USDA National Institute of Food and Agriculture,Nonprofit,ALL,false,,0,25000,400000,watch,FY 2026 cycle closed,2026-07-16,Food access & agriculture|Community services|Economic development,"Funds self-reliant community food projects addressing food and nutrition security and hunger.","Eligible applicants include certain public food-program service providers, tribal organizations, and private nonprofit entities. Verify the next NOFO and matching requirement.",Federal registration|Community needs data|Partnerships|Logic model|Matching funds,https://www.nifa.usda.gov/grants/funding-opportunities/community-food-projects-competitive-grants-program,2026-09-13
USDA-FSOP,Food Safety Outreach Program,USDA National Institute of Food and Agriculture,Nonprofit,ALL,false,,0,,,watch,Current NOFOs closed — monitor next cycle,,Food access & agriculture|Youth & education|Community services,"Supports food-safety education, outreach, training, technical assistance, and grant-writing capacity for eligible organizations.","Verify the next NOFO. Applicants need an organizational eRA Commons account and must fall within a listed eligible category.",eRA Commons registration|Training plan|Audience evidence|Partnership roles,https://www.nifa.usda.gov/grants/programs/food-safety-outreach-program-fsop,2026-09-13
NEA-GAP-2026,Grants for Arts Projects,National Endowment for the Arts,Nonprofit,ALL,false,,5,10000,150000,watch,FY 2026 cycles closed — new guidelines expected late 2026,2026-07-09,Arts & culture|Youth & education|Community services|Health & wellness,"Project-based support for eligible nonprofit arts organizations, governments, and federally recognized tribes.","Nonprofits generally need five years of arts programming, at least $20,000 in recent operating expenses, federal registrations, and required cost share. Verify the next guidelines.",Five-year program history|SAM.gov registration|Project budget|Cost share|Work samples,https://www.arts.gov/grants/grants-for-arts-projects,2026-09-13
SBA-PRIME,Program for Investment in Microentrepreneurs,U.S. Small Business Administration,Nonprofit,ALL,false,,0,,,watch,Annual cycle watch — typically announced in spring,,Economic development|Workforce development|Community services,"Supports eligible nonprofit microenterprise-development organizations providing capacity building, training, and technical assistance to disadvantaged microentrepreneurs.","This program funds eligible intermediary organizations, not ordinary business expansion. Verify the annual notice and applicant category.",Federal registration|Microenterprise outcomes|Training model|Organizational capacity,https://www.sba.gov/loans/additional-funding-opportunities/grants/,2026-09-13
AMERICORPS-2026,AmeriCorps State and National Grants,AmeriCorps,Nonprofit,ALL,false,,0,,,watch,FY 2026 national cycle closed,2026-03-31,Workforce development|Youth & education|Community services|Veterans|Health & wellness,"Supports evidence-informed national-service programs, including workforce pathways and services in rural and high-poverty communities.","Verify the next federal or state-commission competition, applicant type, match, evidence tier, performance measures, and operational-financial requirements.",Federal registration|Service model|Performance measures|Evidence base|Operational capacity,https://www.americorps.gov/funding-opportunity/fy-2026-americorps-state-national-grants,2026-09-13
